,Timestamp,Metadata,Headline,URL,ShortDesc
0,2018-04-25T14:32:11+00:00,view," What If, Hypothetically, Yahoo Had Been Hacked? ",https://www.bloomberg.com/view/articles/2018-04-25/what-if-hypothetically-yahoo-had-been-hacked, Capital Management founder Tom Steyer up to? PDVSA’s Secured Creditors Organize Ahead of Payment. Facebook Has Hosted Stolen Identities and Social Security Numbers for Years. A $3 Trillion Credit Market... 
1,2018-04-25T13:08:24+00:00,markets, There's a 'Black Cloud Over Facebook Stock' Says Synovus Trust's Morgan ,https://www.bloomberg.com/news/videos/2018-04-25/synovus-trust-s-morgan-says-there-is-still-a-black-cloud-over-facebook-stock-video,"     Daniel Morgan, senior portfolio manager at Synovus Trust Company, discusses the outlook Facebook and if there is an investing opportunity there. He speaks with Alix Steel and David Westin on... "
2,2018-04-25T00:00:11+00:00,view, How the U.S. Should Handle China's High-Tech Ambitions ,https://www.bloomberg.com/view/articles/2018-04-25/how-the-u-s-should-handle-china-s-high-tech-ambitions," technology with and market their services through Chinese partners. Firms such as Google and Facebook remain banned on the mainland, and foreign technology companies can’t bid for government IT... "
3,2018-04-24T20:02:16+00:00,markets, Economy Fears Spark Stock Market Rout After Bonds Punch Through 3% ,https://www.bloomberg.com/news/articles/2018-04-24/economy-fears-spark-stock-market-rout-as-bonds-punch-through-3," darlings, wiping almost $85 million in market value from the FANG complex, which also includes Facebook, Amazon and Netflix.Comments from Caterpillar and United Technologies echoed the latest economic... "
4,2018-04-24T10:30:20+00:00,gadfly, Facebook's Lack of Humanity: Charts ,https://www.bloomberg.com/gadfly/articles/2018-04-24/facebook-s-lack-of-humanity-charts," Good morning! This is Fly Charts, the daily charts-only newsletter from Gadfly; sign up here. From Fresenius's escape attempt to SoftBank's fast flip, here are four charts that tell you what you... "
5,2018-04-24T08:00:00+00:00,politics," Cambridge Analytica Tale ‘Disturbing,’ Democratic Lawmaker Says ",https://www.bloomberg.com/politics/articles/2018-04-24/cambridge-analytica-whistle-blower-to-meet-with-house-democrats," more active Facebook users in the EU than in the USA, which makes Mark Zuckerberg’s reluctance to address international lawmakers all the more disappointing,"" Wylie said of the Facebook chief executive... "
6,2018-04-23T22:58:00+00:00,markets, Stock Picks From Top Money Managers at the Sohn Conference ,https://www.bloomberg.com/news/articles/2018-04-23/sohn-conference-roundup-stock-picks-of-some-top-money-managers, going long the SPDR S&P Oil & Gas Exploration & Production ETF and shorting Facebook. Bearish bets against Facebook have increased since a data-privacy scandal engulfed the social-media giant in... 
7,2018-04-23T21:04:49+00:00,markets, Five Things You Need to Know to Start Your Day ,https://www.bloomberg.com/news/articles/2018-04-23/five-things-you-need-to-know-to-start-your-day-jgcqcoku," Bitcoin Cash, which was spun off last year. Through a war of words playing out on Twitter and Facebook, some of the largest holders of both cryptocurrencies are attempting to influence the coins’... "
8,2018-04-23T18:58:06+00:00,technology, Here’s Why Everyone Is Getting Into the Home-Flipping Business ,https://www.bloomberg.com/news/articles/2018-04-23/here-s-why-everyone-is-getting-into-the-home-flipping-business," its AI assistant, TmallGenie, into around 100 automobile brands.Old hatreds find new life on Facebook. In Sri Lanka, the social network has become a forum for spreading race-based rumors and communal... "
9,2018-04-23T18:41:02+00:00,markets, Bitcoin Rival Accused of Trying to Artificially Boost Its Price ,https://www.bloomberg.com/news/articles/2018-04-23/bitcoin-cash-burning-claim-adds-fire-to-pr-battle-with-bitcoin," Bitcoin Cash, which was spun off last year. Through a war of words playing out on Twitter and Facebook, some of the largest holders of both cryptocurrencies are attempting to influence the coins’... "
